Rank,Name,Net Worth,Age,Country,Source,Industry
1.0,Elon Musk,$219 B,50.0,United States,"Tesla, SpaceX",Automotive
2.0,Jeff Bezos,$171 B,58.0,United States,Amazon,Technology
3.0,Bernard Arnault & family,$158 B,73.0,France,LVMH,Fashion & Retail
4.0,Bill Gates,$129 B,66.0,United States,Microsoft,Technology
5.0,Warren Buffett,$118 B,91.0,United States,Berkshire Hathaway,Finance & Investments
6.0,Larry Page,$111 B,49.0,United States,Google,Technology
7.0,Sergey Brin,$107 B,48.0,United States,Google,Technology
8.0,Larry Ellison,$106 B,77.0,United States,software,Technology
9.0,Steve Ballmer,$91.4 B,66.0,United States,Microsoft,Technology
10.0,Mukesh Ambani,$90.7 B,64.0,India,diversified,Diversified
11.0,Gautam Adani,$90 B,59.0,India,"infrastructure, commodities",Diversified
12.0,Michael Bloomberg,$82 B,80.0,United States,Bloomberg LP,Media & Entertainment
13.0,Francoise Bettencourt Meyers & family,$74.8 B,68.0,France,L'Oréal,Fashion & Retail
14.0,Mark Zuckerberg,$67.3 B,37.0,United States,Facebook,Technology
15.0,Jim Walton,$66.2 B,73.0,United States,Walmart,Fashion & Retail
16.0,Zhong Shanshan,$65.7 B,67.0,China,"beverages, pharmaceuticals",Food & Beverage
17.0,Alice Walton,$65.3 B,72.0,United States,Walmart,Fashion & Retail
18.0,Rob Walton,$65 B,77.0,United States,Walmart,Fashion & Retail
19.0,Changpeng Zhao,$65 B,44.0,Canada,cryptocurrency exchange,Finance & Investments
20.0,Charles Koch,$60 B,86.0,United States,Koch Industries,Diversified
21.0,Julia Koch & family,$60 B,59.0,United States,Koch Industries,Diversified
22.0,Amancio Ortega,$59.6 B,86.0,Spain,Zara,Fashion & Retail
23.0,Michael Dell,$55.1 B,57.0,United States,Dell computers,Technology
24.0,Zhang Yiming,$50 B,38.0,China,TikTok,Media & Entertainment
25.0,David Thomson & family,$49.2 B,64.0,Canada,media,Media & Entertainment
26.0,Phil Knight & family,$47.3 B,84.0,United States,Nike,Fashion & Retail
27.0,Robin Zeng,$44.8 B,53.0,Hong Kong,batteries,Automotive
28.0,MacKenzie Scott,$43.6 B,51.0,United States,Amazon,Technology
29.0,Rodolphe Saadé & family,$41.4 B,52.0,France,shipping,Logistics
30.0,François Pinault & family,$40.4 B,85.0,France,luxury goods,Fashion & Retail
31.0,Klaus-Michael Kuehne,$37.3 B,84.0,Germany,shipping,Logistics
32.0,Ma Huateng,$37.2 B,50.0,China,internet media,Technology
33.0,Beate Heister & Karl Albrecht Jr. & family,$36.8 B,,Germany,supermarkets,Fashion & Retail
34.0,Giovanni Ferrero,$36.2 B,57.0,Italy,"Nutella, chocolates",Food & Beverage
35.0,Li Ka-shing,$34.8 B,93.0,Hong Kong,diversified,Diversified
36.0,Stephen Schwarzman,$34.8 B,75.0,United States,investments,Finance & Investments
37.0,Lee Shau Kee,$32.6 B,94.0,Hong Kong,real estate,Real Estate
38.0,Len Blavatnik,$32.5 B,64.0,United States,"music, chemicals",Diversified
39.0,Jacqueline Mars,$31.7 B,82.0,United States,"candy, pet food",Food & Beverage
40.0,John Mars,$31.7 B,86.0,United States,"candy, pet food",Food & Beverage
41.0,Gerard Wertheimer,$31.2 B,71.0,France,Chanel,Fashion & Retail
42.0,German Larrea Mota Velasco & family,$30.8 B,68.0,Mexico,mining,Metals & Mining
43.0,Gina Rinehart,$30.2 B,68.0,Australia,mining,Metals & Mining
44.0,Shiv Nadar,$28.7 B,76.0,India,software services,Technology
45.0,Jim Simons,$28.6 B,83.0,United States,hedge funds,Finance & Investments
46.0,He Xiangjian,$28.3 B,79.0,China,home appliances,Manufacturing
47.0,Miriam Adelson & family,$27.5 B,76.0,United States,casinos,Gambling & Casinos
48.0,Dietrich Mateschitz,$27.4 B,77.0,Austria,Red Bull,Food & Beverage
49.0,Leonardo Del Vecchio & family,$27.3 B,86.0,Italy,eyeglasses,Fashion & Retail
50.0,Ken Griffin,$27.2 B,53.0,United States,hedge funds,Finance & Investments
51.0,Tadashi Yanai & family,$26.1 B,73.0,Japan,fashion retail,Fashion & Retail
52.0,William Lei Ding,$25.2 B,50.0,China,online games,Technology
53.0,Susanne Klatten,$24.3 B,59.0,Germany,"BMW, pharmaceuticals",Automotive
54.0,Cyrus Poonawalla,$24.3 B,80.0,India,vaccines,Healthcare
55.0,Qin Yinglin,$24.1 B,56.0,China,pig breeding,Food & Beverage
56.0,Sam Bankman-Fried,$24 B,30.0,United States,cryptocurrency exchange,Finance & Investments
57.0,Takemitsu Takizaki,$23.9 B,76.0,Japan,sensors,Manufacturing
58.0,Li Shufu,$23.7 B,58.0,China,automobiles,Automotive
59.0,Emmanuel Besnier,$23.5 B,51.0,France,cheese,Food & Beverage
60.0,R. Budi Hartono,$23.2 B,81.0,Indonesia,"banking, tobacco",Finance & Investments
61.0,Leonard Lauder,$23.1 B,89.0,United States,Estee Lauder,Fashion & Retail
62.0,Guillaume Pousaz,$23 B,40.0,Switzerland,fintech,Finance & Investments
63.0,Iris Fontbona & family,$22.8 B,79.0,Chile,mining,Metals & Mining
64.0,Jack Ma,$22.8 B,57.0,China,e-commerce,Technology
65.0,Michael Hartono,$22.3 B,82.0,Indonesia,"banking, tobacco",Manufacturing
66.0,Eric Schmidt,$22.1 B,66.0,United States,Google,Technology
67.0,Ray Dalio,$22 B,72.0,United States,hedge funds,Finance & Investments
68.0,Daniel Gilbert,$22 B,60.0,United States,Quicken Loans,Finance & Investments
69.0,Masayoshi Son,$21.3 B,64.0,Japan,"internet, telecom",Telecom
70.0,Abigail Johnson,$21.2 B,60.0,United States,money management,Finance & Investments
71.0,Rupert Murdoch & family,$20.8 B,91.0,United States,"newspapers, TV network",Media & Entertainment
72.0,Stefan Quandt,$20.7 B,55.0,Germany,BMW,Automotive
73.0,Jensen Huang,$20.6 B,59.0,United States,semiconductors,Technology
74.0,Huang Shilin,$20.3 B,55.0,China,batteries,Automotive
75.0,Thomas Peterffy,$20.1 B,77.0,United States,discount brokerage,Finance & Investments
76.0,Radhakishan Damani,$20 B,67.0,India,"retail, investments",Fashion & Retail
77.0,Pang Kang,$19.6 B,66.0,China,soy sauce,Food & Beverage
78.0,Wang Chuanfu,$19.5 B,56.0,China,"batteries, automobiles",Automotive
79.0,Reinhold Wuerth & family,$19 B,86.0,Germany,fasteners,Manufacturing
80.0,"Theo Albrecht, Jr. & family",$18.7 B,71.0,Germany,"Aldi, Trader Joe's",Fashion & Retail
81.0,Yang Huiyan & family,$18.7 B,40.0,China,real estate,Real Estate
82.0,Vladimir Lisin,$18.4 B,65.0,Russia,"steel, transport",Metals & Mining
83.0,Lakshmi Mittal,$17.9 B,71.0,India,steel,Metals & Mining
84.0,Andrew Forrest,$17.8 B,60.0,Australia,mining,Metals & Mining
85.0,Jiang Rensheng & family,$17.7 B,68.0,China,vaccines,Healthcare
86.0,Savitri Jindal & family,$17.7 B,72.0,India,steel,Metals & Mining
87.0,Wang Wenyin,$17.7 B,54.0,China,"mining, copper products",Metals & Mining
88.0,Li Xiting,$17.6 B,71.0,Singapore,medical devices,Healthcare
89.0,Stefan Persson,$17.6 B,74.0,Sweden,H&M,Fashion & Retail
90.0,Steve Cohen,$17.4 B,65.0,United States,hedge funds,Finance & Investments
91.0,Vladimir Potanin,$17.3 B,61.0,Russia,metals,Metals & Mining
92.0,Harold Hamm & family,$17.2 B,76.0,United States,oil & gas,Energy
93.0,Sun Piaoyang,$17.1 B,63.0,China,pharmaceuticals,Healthcare
94.0,Luo Liguo & family,$17 B,66.0,China,chemicals,Manufacturing
95.0,Peter Woo,$17 B,75.0,Hong Kong,real estate,Real Estate
96.0,Gianluigi & Rafaela Aponte,$16.8 B,81.0,Switzerland,Shipping,Logistics
97.0,Renata Kellnerova & family,$16.6 B,54.0,Czechia,"finance, telecommunications",Finance & Investments
98.0,"John Menard, Jr.",$16.6 B,82.0,United States,home improvement stores,Fashion & Retail
99.0,Kumar Birla,$16.5 B,54.0,India,commodities,Diversified
100.0,Carl Icahn,$16.5 B,86.0,United States,investments,Finance & Investments
101.0,Hank & Doug Meijer,$16.5 B,,United States,supermarkets,Fashion & Retail
102.0,Lukas Walton,$16.5 B,35.0,United States,Walmart,Fashion & Retail
103.0,Laurene Powell Jobs & family,$16.4 B,58.0,United States,"Apple, Disney",Technology
104.0,James Ratcliffe,$16.3 B,69.0,United Kingdom,chemicals,Manufacturing
105.0,Donald Bren,$16.2 B,89.0,United States,real estate,Real Estate
106.0,Xu Hang,$16.1 B,55.0,Hong Kong,medical devices,Healthcare
107.0,Lu Xiangyang,$15.7 B,59.0,China,"automobiles, batteries",Automotive
108.0,Dilip Shanghvi,$15.6 B,66.0,India,pharmaceuticals,Healthcare
109.0,Wei Jianjun & family,$15.5 B,58.0,China,automobiles,Automotive
110.0,Jorge Paulo Lemann & family,$15.4 B,82.0,Brazil,beer,Food & Beverage
111.0,Mike Cannon-Brookes,$15.3 B,42.0,Australia,software,Technology
112.0,Wu Yajun,$15.3 B,58.0,China,real estate,Real Estate
113.0,Charlene de Carvalho-Heineken & family,$15.2 B,67.0,Netherlands,Heineken,Food & Beverage
114.0,Michael Platt,$15.2 B,54.0,United Kingdom,hedge funds,Finance & Investments
115.0,Pavel Durov,$15.1 B,37.0,United Arab Emirates,messaging app,Technology
116.0,Scott Farquhar,$15.1 B,42.0,Australia,software,Technology
117.0,Pallonji Mistry,$15 B,92.0,Ireland,construction,Construction & Engineering
118.0,Dang Yanbao,$14.8 B,49.0,China,coal,Metals & Mining
119.0,Robert Pera,$14.6 B,44.0,United States,wireless networking gear,Technology
120.0,Donald Newhouse,$14.4 B,92.0,United States,media,Media & Entertainment
121.0,Uday Kotak,$14.3 B,63.0,India,banking,Finance & Investments
122.0,Aliko Dangote,$14 B,64.0,Nigeria,"cement, sugar",Manufacturing
123.0,Leonid Mikhelson,$14 B,66.0,Russia,"gas, chemicals",Energy
124.0,Sunil Mittal & family,$13.9 B,64.0,India,telecom,Telecom
125.0,Liu Hanyuan,$13.65 B,58.0,China,agribusiness,Food & Beverage
126.0,Anders Holch Povlsen,$13.6 B,49.0,Denmark,fashion retail,Fashion & Retail
127.0,Joseph Lau,$13.6 B,70.0,Hong Kong,real estate,Real Estate
128.0,Dhanin Chearavanont,$13.5 B,82.0,Thailand,diversified,Diversified
129.0,Gong Hongjia & family,$13.2 B,57.0,Hong Kong,video surveillance,Finance & Investments
130.0,Liu Yongxing,$13.2 B,73.0,China,diversified,Service
131.0,Alexey Mordashov,$13.2 B,56.0,Russia,"steel, investments",Metals & Mining
132.0,Wang Jianlin,$13.2 B,67.0,China,real estate,Real Estate
133.0,David Duffield,$12.9 B,81.0,United States,business software,Technology
134.0,Li Zhenguo & family,$12.9 B,54.0,China,solar wafers and modules,Manufacturing
135.0,Harry Triguboff,$12.8 B,89.0,Australia,real estate,Real Estate
136.0,Zhang Zhidong,$12.8 B,50.0,China,internet media,Technology
137.0,Chen Bang,$12.7 B,56.0,China,hospitals,Healthcare
138.0,John Doerr,$12.7 B,70.0,United States,venture capital,Technology
139.0,Kwong Siu-hing,$12.6 B,92.0,Hong Kong,real estate,Real Estate
140.0,Pei Zhenhua,$12.5 B,63.0,China,batteries,Energy
141.0,Ricardo Salinas Pliego & family,$12.4 B,66.0,Mexico,"retail, media",Fashion & Retail
142.0,Jim Pattison,$12.2 B,93.0,Canada,diversified,Diversified
143.0,Charles Schwab,$12.2 B,84.0,United States,discount brokerage,Finance & Investments
144.0,Goh Cheng Liang,$12.1 B,94.0,Singapore,paints,Manufacturing
145.0,Lin Jianhua,$12.1 B,59.0,China,solar panel components,Manufacturing
146.0,Charoen Sirivadhanabhakdi,$12 B,77.0,Thailand,"alcohol, real estate",Food & Beverage
147.0,Jeff Yass,$12 B,63.0,United States,"trading, investments",Finance & Investments
148.0,John Fredriksen,$11.9 B,77.0,Cyprus,shipping,Logistics
149.0,Andreas Struengmann & family,$11.9 B,72.0,Germany,pharmaceuticals,Healthcare
150.0,Thomas Struengmann & family,$11.9 B,72.0,Germany,pharmaceuticals,Healthcare
151.0,Mikhail Fridman,$11.8 B,57.0,Russia,"oil, banking, telecom",Energy
152.0,Sarath Ratanavadi,$11.8 B,56.0,Thailand,energy,Energy
153.0,Lei Jun,$11.7 B,52.0,China,smartphones,Technology
154.0,Zhang Congyuan,$11.7 B,74.0,Taiwan,shoes,Fashion & Retail
